"provincia","total_extranjeros","Bolivia","Paraguay","Perú","Venezuela","porcentaje_Bolivia","porcentaje_Paraguay","porcentaje_Perú","porcentaje_Venezuela","porcentaje_Otros","Otros"
"Buenos Aires",54180,15654,20457,3856,7711,28.89,37.76,7.12,14.23,12,6502
"Catamarca",97,17,3,6,8,17.53,3.09,6.19,8.25,64.94,63
"Chaco",236,31,39,7,20,13.14,16.53,2.97,8.47,58.89,139
"Chubut",1645,1016,154,37,145,61.76,9.36,2.25,8.81,17.82,293
"Ciudad de Buenos Aires",30357,7178,3763,3805,9949,23.65,12.4,12.53,32.77,18.65,5662
"Corrientes",336,106,57,3,40,31.55,16.96,0.89,11.9,38.7,130
"Córdoba",4541,1209,245,769,1023,26.62,5.4,16.93,22.53,28.52,1295
"Entre Ríos",579,98,56,16,59,16.93,9.67,2.76,10.19,60.45,350
"Formosa",487,8,387,0,6,1.64,79.47,0,1.23,17.66,86
"Jujuy",769,624,10,6,40,81.14,1.3,0.78,5.2,11.58,89
"La Pampa",170,42,8,1,36,24.71,4.71,0.59,21.18,48.81,83
"La Rioja",271,180,0,4,10,66.42,0,1.48,3.69,28.41,77
"Mendoza",3376,1755,18,194,334,51.98,0.53,5.75,9.89,31.85,1075
"Misiones",714,6,325,9,70,0.84,45.52,1.26,9.8,42.58,304
"Neuquén",1528,340,104,22,657,22.25,6.81,1.44,43,26.5,405
"Río Negro",1434,653,126,25,180,45.54,8.79,1.74,12.55,31.38,450
"Salta",859,556,17,15,59,64.73,1.98,1.75,6.87,24.67,212
"San Juan",229,72,1,4,37,31.44,0.44,1.75,16.16,50.21,115
"San Luis",203,46,6,10,33,22.66,2.96,4.93,16.26,53.19,108
"Santa Cruz",815,419,96,21,79,51.41,11.78,2.58,9.69,24.54,200
"Santa Fe",3498,411,688,205,517,11.75,19.67,5.86,14.78,47.94,1677
"Santiago del Estero",82,14,10,3,8,17.07,12.2,3.66,9.76,57.31,47
"Tierra del Fuego",380,168,31,14,17,44.21,8.16,3.68,4.47,39.48,150
"Tucumán",243,68,2,10,51,27.98,0.82,4.12,20.99,46.09,112
